"month","race_eth2","Age_Group","unemprate","emprate","nsamp"
2020-02-01,"Asian.Not Latino","55 to 64",0.022994664725889,0.0151578224814414,543
2020-03-01,"Asian.Not Latino","55 to 64",0.0530991924363956,0.0337713850291135,486
2020-04-01,"Asian.Not Latino","55 to 64",0.11394900673966,0.194665017789842,453
2020-05-01,"Asian.Not Latino","55 to 64",0.111775936012545,0.158769161978717,434
2020-06-01,"Asian.Not Latino","55 to 64",0.0399329575343748,0.15041853519866,398
2020-07-01,"Asian.Not Latino","55 to 64",0.0439204157609462,0.124435205950794,389
2020-08-01,"Asian.Not Latino","55 to 64",0.0100004574755463,0.119937182180615,453
2020-09-01,"Asian.Not Latino","55 to 64",0.0117743887494726,0.0987526081748923,510
2020-10-01,"Asian.Not Latino","55 to 64",0.0260549795271557,0.0752426306435021,507
2020-11-01,"Asian.Not Latino","55 to 64",0.0192478323261017,0.079940096374255,498
2020-12-01,"Asian.Not Latino","55 to 64",0.0221452428777607,0.0820451422894051,442
2021-01-01,"Asian.Not Latino","55 to 64",0.0453416726893907,0.0882213330068392,446
2021-02-01,"Asian.Not Latino","55 to 64",0.0363718729532799,0.0713883391187251,437
2021-03-01,"Asian.Not Latino","55 to 64",0.0267330067618673,0.0729921021517823,457
2021-04-01,"Asian.Not Latino","55 to 64",0.0291627563432352,0.0644676013665745,483
2021-05-01,"Asian.Not Latino","55 to 64",0.0516789521571583,0.0769721192187132,484
2021-06-01,"Asian.Not Latino","55 to 64",0.043942176498394,0.0692472666488838,491
2020-02-01,"Asian.Not Latino","65 or older",0.0726549771616908,0.0081881599668151,206
2020-03-01,"Asian.Not Latino","65 or older",0.0844559442088241,0.0404338957242987,161
2020-04-01,"Asian.Not Latino","65 or older",0.118161009451553,0.154686099743561,148
2020-05-01,"Asian.Not Latino","65 or older",0.0718775638314302,0.19973199816797,153
2020-06-01,"Asian.Not Latino","65 or older",0.0208227491178313,0.20614129324422,147
2020-07-01,"Asian.Not Latino","65 or older",0.0437683051690807,0.13063762055099,174
2020-08-01,"Asian.Not Latino","65 or older",0.0429549582362303,0.160623891885909,156
2020-09-01,"Asian.Not Latino","65 or older",0.0357915149433825,0.112543275911707,165
2020-10-01,"Asian.Not Latino","65 or older",0.0452183455037506,0.0732321341515397,167
2020-11-01,"Asian.Not Latino","65 or older",0.0826391420674449,0.0669892138450024,181
2020-12-01,"Asian.Not Latino","65 or older",0.0646867911831764,0.0674561564416521,164
