"month","race_eth2","educ","sex","unemprate","emprate"
2020-02-01,"Latino","< High School","Male",0.021976875447341,0.0644181479444389
2020-03-01,"Latino","< High School","Male",0.0430643553961551,0.0778561871422282
2020-04-01,"Latino","< High School","Male",0.0741910590812781,0.194195208334074
2020-05-01,"Latino","< High School","Male",0.0347805050076029,0.200263562583554
2020-06-01,"Latino","< High School","Male",0.014350085280433,0.132365977711814
2020-02-01,"Latino","Bachelors +","Male",0.014802979621867,0.0136860258055362
2020-03-01,"Latino","Bachelors +","Male",0.0375278074501128,0.0311840620681314
2020-04-01,"Latino","Bachelors +","Male",0.0563347510792246,0.111925534696814
2020-05-01,"Latino","Bachelors +","Male",0.0373379250712052,0.0998004893600554
2020-06-01,"Latino","Bachelors +","Male",0.039146014758208,0.0919288723594206
2020-02-01,"Latino","High School","Male",0.0155840544822382,0.0490475931801061
2020-03-01,"Latino","High School","Male",0.0364778993116458,0.0552797941331046
2020-04-01,"Latino","High School","Male",0.0729982170827542,0.18789627067869
2020-05-01,"Latino","High School","Male",0.0476400324519705,0.161776310457358
2020-06-01,"Latino","High School","Male",0.0235324340397665,0.14088322318947
2020-02-01,"Latino","Some college","Male",0.0185682338763697,0.0340682009258226
2020-03-01,"Latino","Some college","Male",0.035868242506902,0.0670066931605509
2020-04-01,"Latino","Some college","Male",0.0762124100952999,0.179413792089878
2020-05-01,"Latino","Some college","Male",0.0500985666649094,0.16393134224835
2020-06-01,"Latino","Some college","Male",0.0258466632884843,0.149609480936261
2020-02-01,"Latino",NA,"Male",0.0125374865666756,0.0766974410655284
2020-03-01,"Latino",NA,"Male",0.0175182479089591,0.0975469589923017
2020-04-01,"Latino",NA,"Male",0.0975562569109996,0.15617916732884
2020-05-01,"Latino",NA,"Male",0.0646288350296677,0.125910411534914
2020-06-01,"Latino",NA,"Male",0.0480921950215033,0.120198885490745
2020-02-01,"multiple.Not Latino","< High School","Female",0,0.0856058347346589
2020-03-01,"multiple.Not Latino","< High School","Female",0,0.0594547950728517
2020-04-01,"multiple.Not Latino","< High School","Female",0.262055580777242,0.395343314940553
2020-05-01,"multiple.Not Latino","< High School","Female",0,0.102055396647589
2020-06-01,"multiple.Not Latino","< High School","Female",0,0.11406196989576
2020-02-01,"multiple.Not Latino","Bachelors +","Female",0.0396033925054277,0.0266418998735176
2020-03-01,"multiple.Not Latino","Bachelors +","Female",0.0135563324936335,0.0363996846480763
2020-04-01,"multiple.Not Latino","Bachelors +","Female",0.105577916890604,0.0937353691912429
2020-05-01,"multiple.Not Latino","Bachelors +","Female",0.0440793563428488,0.116570836607675
2020-06-01,"multiple.Not Latino","Bachelors +","Female",0.0934669900900065,0.0311897789505501
2020-02-01,"multiple.Not Latino","High School","Female",0.0475153484960832,0.0814333020483075
2020-03-01,"multiple.Not Latino","High School","Female",0.0618089396072607,0.168075011789363
2020-04-01,"multiple.Not Latino","High School","Female",0.10862310065945,0.293285383249176
2020-05-01,"multiple.Not Latino","High School","Female",0,0.363662072898925
2020-06-01,"multiple.Not Latino","High School","Female",0.0335303195002765,0.218315275670208
2020-02-01,"multiple.Not Latino","Some college","Female",0.0313549143841124,0.0322714572554981
2020-03-01,"multiple.Not Latino","Some college","Female",0.0917320591427417,0.0727538430268658
2020-04-01,"multiple.Not Latino","Some college","Female",0.156692127077316,0.233780090084877
2020-05-01,"multiple.Not Latino","Some college","Female",0.0746668122313068,0.17455951033631
2020-06-01,"multiple.Not Latino","Some college","Female",0.121548941257298,0.152451300055618
2020-02-01,"multiple.Not Latino","< High School","Male",0.173885780007185,0.217234674299614
2020-03-01,"multiple.Not Latino","< High School","Male",0.0924170885827625,0.303868540053947
2020-04-01,"multiple.Not Latino","< High School","Male",0.109205130037111,0.488260808836927
2020-05-01,"multiple.Not Latino","< High School","Male",0.0921495069618598,0.398098300470765
2020-06-01,"multiple.Not Latino","< High School","Male",0,0.223195911168544
2020-02-01,"multiple.Not Latino","Bachelors +","Male",0.0147257390213847,0.0887019690808726
2020-03-01,"multiple.Not Latino","Bachelors +","Male",0.0254492005308904,0.0382239658962205
2020-04-01,"multiple.Not Latino","Bachelors +","Male",0.0378766681409596,0.10889633171182
2020-05-01,"multiple.Not Latino","Bachelors +","Male",0.0361141131575059,0.0338003766345366
2020-06-01,"multiple.Not Latino","Bachelors +","Male",0.0988565556941176,0.0421169213659308
2020-02-01,"multiple.Not Latino","High School","Male",0.0225137835843584,0.0749519589511998
2020-03-01,"multiple.Not Latino","High School","Male",0.0305277096951393,0.06391105902136
2020-04-01,"multiple.Not Latino","High School","Male",0.130371322979919,0.188387746572694
2020-05-01,"multiple.Not Latino","High School","Male",0.0827255397024128,0.266757269224589
2020-06-01,"multiple.Not Latino","High School","Male",0.0260459662617833,0.209461588260567
2020-02-01,"multiple.Not Latino","Some college","Male",0.00740606271249807,0.0503313549832664
2020-03-01,"multiple.Not Latino","Some college","Male",0.0451389576595432,0.0516403349009934
2020-04-01,"multiple.Not Latino","Some college","Male",0.0940497982711675,0.0904299249740026
2020-05-01,"multiple.Not Latino","Some college","Male",0.0781522979471294,0.126487556484196
2020-06-01,"multiple.Not Latino","Some college","Male",0.0218549071049593,0.0671416758734521
2020-02-01,"NHPI.Not Latino","< High School","Female",0,0
2020-03-01,"NHPI.Not Latino","< High School","Female",0.187183093647996,0
2020-04-01,"NHPI.Not Latino","< High School","Female",0.103072750626083,0.223785368738372
2020-05-01,"NHPI.Not Latino","< High School","Female",0,0
2020-06-01,"NHPI.Not Latino","< High School","Female",0,0
2020-02-01,"NHPI.Not Latino","Bachelors +","Female",0.107137106300897,0.0448224948417872
2020-03-01,"NHPI.Not Latino","Bachelors +","Female",0.0208792934537915,0.0461284666055576
2020-04-01,"NHPI.Not Latino","Bachelors +","Female",0,0.0852632613198435
2020-05-01,"NHPI.Not Latino","Bachelors +","Female",0.0235605249290692,0.029557172476351
2020-06-01,"NHPI.Not Latino","Bachelors +","Female",0.0792823899592072,0.00693582291401762
2020-02-01,"NHPI.Not Latino","High School","Female",0,0
2020-03-01,"NHPI.Not Latino","High School","Female",0.0221283003082718,0
2020-04-01,"NHPI.Not Latino","High School","Female",0.0650208595538218,0.0567297119032184
2020-05-01,"NHPI.Not Latino","High School","Female",0.0890451210821731,0.0946055894742235
2020-06-01,"NHPI.Not Latino","High School","Female",0.193498259924644,0
2020-02-01,"NHPI.Not Latino","Some college","Female",0,0.100928553571238
2020-03-01,"NHPI.Not Latino","Some college","Female",0.00659665141656748,0.0803367270662553
2020-04-01,"NHPI.Not Latino","Some college","Female",0.164888735906657,0.037391836275674
2020-05-01,"NHPI.Not Latino","Some college","Female",0,0.0262875244903977
2020-06-01,"NHPI.Not Latino","Some college","Female",0.0427097579077275,0.0490418871395601
2020-04-01,"NHPI.Not Latino",NA,"Female",0,0
2020-02-01,"NHPI.Not Latino","< High School","Male",0,0
2020-03-01,"NHPI.Not Latino","< High School","Male",0.0362940143548327,0
2020-04-01,"NHPI.Not Latino","< High School","Male",0,0.112527650445044
2020-05-01,"NHPI.Not Latino","< High School","Male",0,0.245849819050525
2020-06-01,"NHPI.Not Latino","< High School","Male",0,0
2020-02-01,"NHPI.Not Latino","Bachelors +","Male",0,0
2020-03-01,"NHPI.Not Latino","Bachelors +","Male",0.00554872174811872,0
2020-04-01,"NHPI.Not Latino","Bachelors +","Male",0.0337210422192045,0.00621792196977655
2020-05-01,"NHPI.Not Latino","Bachelors +","Male",0.126013748890192,0.152367024438527
2020-06-01,"NHPI.Not Latino","Bachelors +","Male",0.0850593489807228,0.284484386691793
2020-02-01,"NHPI.Not Latino","High School","Male",0.0454077149682115,0.0242474717455622
2020-03-01,"NHPI.Not Latino","High School","Male",0.0342674997023651,0.0653857463919368
