"month","race_eth2","educ","sex","unemprate","emprate","nsamp"
2020-04-01,"Black.Not Latino","High School","Male",0.100355256048571,0.207500279657747,655
2020-05-01,"Black.Not Latino","High School","Male",0.0612832791703412,0.188609511778888,654
2020-06-01,"Black.Not Latino","High School","Male",0.0385892770890558,0.180454294737823,643
2020-07-01,"Black.Not Latino","High School","Male",0.0368842430672241,0.181282777134991,697
2020-08-01,"Black.Not Latino","High School","Male",0.0393892505026167,0.16991417222468,721
2020-09-01,"Black.Not Latino","High School","Male",0.0306296112692367,0.153397216673305,852
2020-10-01,"Black.Not Latino","High School","Male",0.0209694447432153,0.14267405205491,904
2020-02-01,"Black.Not Latino","Some college","Male",0.0167464654202524,0.0637336766606474,682
2020-03-01,"Black.Not Latino","Some college","Male",0.0195811157282731,0.0619828858806428,572
2020-04-01,"Black.Not Latino","Some college","Male",0.0609957484436157,0.162462733723964,551
2020-05-01,"Black.Not Latino","Some college","Male",0.0663741346190333,0.161878515410576,535
2020-06-01,"Black.Not Latino","Some college","Male",0.0518520957927653,0.153746235420575,581
2020-07-01,"Black.Not Latino","Some college","Male",0.0505659758204259,0.13222284439709,541
2020-08-01,"Black.Not Latino","Some college","Male",0.0548171986402874,0.119134200775998,590
2020-09-01,"Black.Not Latino","Some college","Male",0.0350290258486542,0.115445555131588,692
2020-10-01,"Black.Not Latino","Some college","Male",0.0334406654518897,0.10508241229309,745
2020-02-01,"Black.Not Latino",NA,"Male",0,0,5
2020-03-01,"Black.Not Latino",NA,"Male",0,0.24575685456308,5
2020-04-01,"Black.Not Latino",NA,"Male",0,0.3716695946264,5
2020-05-01,"Black.Not Latino",NA,"Male",0.0994079989119602,0,8
2020-06-01,"Black.Not Latino",NA,"Male",0,0.13408109879357,15
2020-07-01,"Black.Not Latino",NA,"Male",0.0560632922408833,0.0869937146028825,10
2020-08-01,"Black.Not Latino",NA,"Male",0,0,7
2020-09-01,"Black.Not Latino",NA,"Male",0,0.78724110856779,2
2020-10-01,"Black.Not Latino",NA,"Male",0.206096860923136,0.228833851999166,5
2020-02-01,"Latino","< High School","Female",0.0168051221377795,0.0891948407179229,488
2020-03-01,"Latino","< High School","Female",0.0326799706079903,0.131965841094931,377
2020-04-01,"Latino","< High School","Female",0.109655072868007,0.246124690899249,337
2020-05-01,"Latino","< High School","Female",0.0602564048227543,0.28949895905441,295
2020-06-01,"Latino","< High School","Female",0.0314576252155862,0.228064178375243,296
2020-07-01,"Latino","< High School","Female",0.0432108118733926,0.190399493220195,251
2020-08-01,"Latino","< High School","Female",0.0320480291830387,0.138682564950034,285
2020-09-01,"Latino","< High School","Female",0.0304157457823386,0.125100779227599,369
2020-10-01,"Latino","< High School","Female",0.0228146770618569,0.103514153569317,379
2020-02-01,"Latino","Bachelors +","Female",0.024436474422834,0.0286933416183076,935
2020-03-01,"Latino","Bachelors +","Female",0.0478698880652133,0.038009088193072,784
2020-04-01,"Latino","Bachelors +","Female",0.0708269365941269,0.125448760524746,735
2020-05-01,"Latino","Bachelors +","Female",0.0501337239995956,0.133770202164333,705
2020-06-01,"Latino","Bachelors +","Female",0.0931258149882533,0.124142742388577,722
2020-07-01,"Latino","Bachelors +","Female",0.113338805537974,0.0952908380934426,728
2020-08-01,"Latino","Bachelors +","Female",0.0749571509859914,0.0747796704034939,769
2020-09-01,"Latino","Bachelors +","Female",0.0296840206487758,0.0745597264139648,864
2020-10-01,"Latino","Bachelors +","Female",0.025663982837257,0.0585945412473677,860
2020-02-01,"Latino","High School","Female",0.0260499080901769,0.0522661010615998,1139
2020-03-01,"Latino","High School","Female",0.0526332662404987,0.0592463919394355,864
2020-04-01,"Latino","High School","Female",0.0878239778990265,0.251295111614031,733
2020-05-01,"Latino","High School","Female",0.0604169395173348,0.209524457276841,712
2020-06-01,"Latino","High School","Female",0.0565329571577331,0.160884510391548,697
2020-07-01,"Latino","High School","Female",0.0502127809951737,0.148617449361201,759
2020-08-01,"Latino","High School","Female",0.0449097817626843,0.125362725245188,789
2020-09-01,"Latino","High School","Female",0.0288562348344906,0.130455672627702,971
2020-10-01,"Latino","High School","Female",0.02675061555429,0.100689802134511,1035
2020-02-01,"Latino","Some college","Female",0.018837150860504,0.0483221922945987,1115
2020-03-01,"Latino","Some college","Female",0.0592591159878042,0.0538562084114543,924
2020-04-01,"Latino","Some college","Female",0.100209306469605,0.207735369304399,834
2020-05-01,"Latino","Some college","Female",0.0682427300058806,0.211900724577426,802
2020-06-01,"Latino","Some college","Female",0.0559298702257638,0.169220636177008,799
2020-07-01,"Latino","Some college","Female",0.0570499601006566,0.161106953711424,794
2020-08-01,"Latino","Some college","Female",0.0489742372465302,0.104545087946265,786
2020-09-01,"Latino","Some college","Female",0.0444173285763348,0.110428078929873,949
2020-10-01,"Latino","Some college","Female",0.0372979211596618,0.0840936235173152,1017
2020-02-01,"Latino",NA,"Female",0.0122939064732939,0.0966388625025058,206
2020-03-01,"Latino",NA,"Female",0.0906495347818855,0.107267663899268,176
2020-04-01,"Latino",NA,"Female",0.108515545909271,0.261115860364723,137
2020-05-01,"Latino",NA,"Female",0.091893573664287,0.207485830414279,116
2020-06-01,"Latino",NA,"Female",0.0428028850144761,0.170734021657764,123
2020-07-01,"Latino",NA,"Female",0.0429073950805471,0.217539209323469,134
2020-08-01,"Latino",NA,"Female",0.0491094130588947,0.153028604889257,154
2020-09-01,"Latino",NA,"Female",0.0222966745686356,0.130556977656331,166
2020-10-01,"Latino",NA,"Female",0.0391132021462651,0.088569507678431,186
2020-02-01,"Latino","< High School","Male",0.021976875447341,0.0644181479444389,728
2020-03-01,"Latino","< High School","Male",0.0430643553961551,0.0778561871422282,595
2020-04-01,"Latino","< High School","Male",0.0741910590812781,0.194195208334074,543
2020-05-01,"Latino","< High School","Male",0.0347805050076029,0.200263562583554,505
2020-06-01,"Latino","< High School","Male",0.014350085280433,0.132365977711814,495
2020-07-01,"Latino","< High School","Male",0.0257083183343204,0.142718392555307,467
2020-08-01,"Latino","< High School","Male",0.0351174217206666,0.110193699038544,488
2020-09-01,"Latino","< High School","Male",0.0304987784762403,0.0935522500269287,621
2020-10-01,"Latino","< High School","Male",0.018516038829596,0.0747835093766974,634
2020-02-01,"Latino","Bachelors +","Male",0.014802979621867,0.0136860258055362,784
2020-03-01,"Latino","Bachelors +","Male",0.0375278074501128,0.0311840620681314,676
2020-04-01,"Latino","Bachelors +","Male",0.0563347510792246,0.111925534696814,633
2020-05-01,"Latino","Bachelors +","Male",0.0373379250712052,0.0998004893600554,607
2020-06-01,"Latino","Bachelors +","Male",0.039146014758208,0.0919288723594206,584
2020-07-01,"Latino","Bachelors +","Male",0.0438549356929483,0.084553218337669,589
2020-08-01,"Latino","Bachelors +","Male",0.0312844193933943,0.079665944350538,650
2020-09-01,"Latino","Bachelors +","Male",0.0268088971692074,0.0698301908240956,738
