"month","race_eth2","stname","emprate","nsamp"
2020-06-01,"Black.Not Latino","Pennsylvania",0.167322721689105,66
2020-02-01,"Black.Not Latino","South Carolina",0.0660034364141897,187
2020-03-01,"Black.Not Latino","South Carolina",0.0293673031187556,155
2020-04-01,"Black.Not Latino","South Carolina",0.176539778842245,158
2020-05-01,"Black.Not Latino","South Carolina",0.119274646353074,158
2020-06-01,"Black.Not Latino","South Carolina",0.146322521581048,142
2020-02-01,"Black.Not Latino","Tennessee",0.130531488277345,126
2020-03-01,"Black.Not Latino","Tennessee",0.0777849202439628,129
2020-04-01,"Black.Not Latino","Tennessee",0.154399037829346,90
2020-05-01,"Black.Not Latino","Tennessee",0.115042644176506,103
2020-06-01,"Black.Not Latino","Tennessee",0.159203604933432,92
2020-02-01,"Black.Not Latino","Texas",0.0545797013115115,354
2020-03-01,"Black.Not Latino","Texas",0.0780082594917106,271
2020-04-01,"Black.Not Latino","Texas",0.192438648991311,257
2020-05-01,"Black.Not Latino","Texas",0.218751367243104,265
2020-06-01,"Black.Not Latino","Texas",0.13523639681403,244
2020-02-01,"Black.Not Latino","Virginia",0.0353681582693109,176
2020-03-01,"Black.Not Latino","Virginia",0.0307419458497113,147
2020-04-01,"Black.Not Latino","Virginia",0.100647414600576,136
2020-05-01,"Black.Not Latino","Virginia",0.0974858774201264,157
2020-06-01,"Black.Not Latino","Virginia",0.127308908936272,146
2020-02-01,"Black.Not Latino","Washington",0.0588359334995671,36
2020-03-01,"Black.Not Latino","Wisconsin",0.0386559513263365,37
2020-04-01,"Black.Not Latino","Wisconsin",0.249169700710876,35
2020-02-01,"Latino","Alabama",0.0127329646140332,55
2020-03-01,"Latino","Alabama",0.018945507047249,54
2020-04-01,"Latino","Alabama",0.209050721427146,34
2020-05-01,"Latino","Alabama",0.193540315292941,39
2020-06-01,"Latino","Alabama",0.125375383838139,42
2020-04-01,"Latino","Alaska",0.144197045894265,34
2020-05-01,"Latino","Alaska",0.0647434252213284,39
2020-06-01,"Latino","Alaska",0.0406631010748484,35
2020-02-01,"Latino","Arizona",0.0435440737574362,344
2020-03-01,"Latino","Arizona",0.0509640176458462,282
2020-04-01,"Latino","Arizona",0.143032197277516,274
2020-05-01,"Latino","Arizona",0.0835007190208882,218
2020-06-01,"Latino","Arizona",0.112065019901896,202
2020-02-01,"Latino","Arkansas",0.030378101001641,81
2020-03-01,"Latino","Arkansas",0.0261104417764846,45
2020-04-01,"Latino","Arkansas",0.0840905936131829,33
2020-02-01,"Latino","California",0.0572688801879141,1945
2020-03-01,"Latino","California",0.0677743138515299,1561
2020-04-01,"Latino","California",0.195250482658369,1367
2020-05-01,"Latino","California",0.182929180637591,1267
2020-06-01,"Latino","California",0.146085058843835,1193
2020-02-01,"Latino","Colorado",0.0446514041189129,162
2020-03-01,"Latino","Colorado",0.0936033675277201,127
2020-04-01,"Latino","Colorado",0.202481723547628,114
2020-05-01,"Latino","Colorado",0.170967138474211,112
2020-06-01,"Latino","Colorado",0.158331094919855,109
2020-02-01,"Latino","Connecticut",0.0637512241050876,90
2020-03-01,"Latino","Connecticut",0.0464543441328087,67
2020-04-01,"Latino","Connecticut",0.0728935530553664,50
2020-05-01,"Latino","Connecticut",0.201732576304025,60
2020-06-01,"Latino","Connecticut",0.201293085070303,47
2020-02-01,"Latino","Delaware",0.0393732925522875,56
2020-03-01,"Latino","Delaware",0.0742260142260087,34
2020-04-01,"Latino","Delaware",0.169694891695256,41
2020-05-01,"Latino","Delaware",0.183526807535402,40
2020-02-01,"Latino","District of Columbia",0.0551376070582724,113
2020-03-01,"Latino","District of Columbia",0.016363132183901,95
2020-04-01,"Latino","District of Columbia",0.134956659224122,76
2020-05-01,"Latino","District of Columbia",0.0867355102627345,64
2020-06-01,"Latino","District of Columbia",0.203581317627463,73
2020-02-01,"Latino","Florida",0.0255327716729878,686
2020-03-01,"Latino","Florida",0.0444515360733406,534
2020-04-01,"Latino","Florida",0.161941788645697,483
2020-05-01,"Latino","Florida",0.177429558262779,475
2020-06-01,"Latino","Florida",0.131311664908343,479
2020-02-01,"Latino","Georgia",0.0452899979369807,140
2020-03-01,"Latino","Georgia",0.0535979821224266,106
2020-04-01,"Latino","Georgia",0.203200203448322,88
2020-05-01,"Latino","Georgia",0.126972992164287,85
2020-06-01,"Latino","Georgia",0.0717582274530918,102
2020-02-01,"Latino","Hawaii",0.0273307090222238,50
2020-03-01,"Latino","Hawaii",0,40
2020-05-01,"Latino","Hawaii",0.299205037796084,31
2020-06-01,"Latino","Hawaii",0.146021369329125,34
2020-02-01,"Latino","Idaho",0.0332294265875032,86
2020-03-01,"Latino","Idaho",0.0390028139028622,73
2020-04-01,"Latino","Idaho",0.178894551957948,72
2020-05-01,"Latino","Idaho",0.16196077604238,87
2020-06-01,"Latino","Idaho",0.131158122922008,104
2020-02-01,"Latino","Illinois",0.0658470395848691,248
2020-03-01,"Latino","Illinois",0.0622330703350449,240
2020-04-01,"Latino","Illinois",0.245586190997155,242
2020-05-01,"Latino","Illinois",0.215755924840632,208
2020-06-01,"Latino","Illinois",0.205547404307499,180
2020-02-01,"Latino","Indiana",0,43
2020-03-01,"Latino","Indiana",0.05284991908099,40
2020-04-01,"Latino","Indiana",0.228700795252988,46
2020-05-01,"Latino","Indiana",0.16697378545558,41
2020-06-01,"Latino","Indiana",0.0909522303613851,42
2020-02-01,"Latino","Iowa",0.0814818496462395,37
2020-03-01,"Latino","Iowa",0.0584951489200172,31
2020-05-01,"Latino","Iowa",0.120057755420455,32
2020-02-01,"Latino","Kansas",0.0670941955423351,83
2020-03-01,"Latino","Kansas",0.0429606490684838,62
2020-04-01,"Latino","Kansas",0.194160612898313,65
2020-05-01,"Latino","Kansas",0.152384531939954,53
2020-06-01,"Latino","Kansas",0.0883538323174261,54
2020-02-01,"Latino","Louisiana",0.05897628581546,67
2020-03-01,"Latino","Louisiana",0.141770677789244,60
2020-04-01,"Latino","Louisiana",0.154956152057434,56
2020-05-01,"Latino","Louisiana",0.299095314526873,44
2020-06-01,"Latino","Louisiana",0.120342200381096,53
2020-02-01,"Latino","Maryland",0.0113844477505594,78
2020-03-01,"Latino","Maryland",0,55
2020-04-01,"Latino","Maryland",0.0999138991845748,46
2020-05-01,"Latino","Maryland",0.144841915961092,42
2020-06-01,"Latino","Maryland",0.0971467178653657,40
2020-02-01,"Latino","Massachusetts",0.0366335436101137,113
2020-03-01,"Latino","Massachusetts",0.0577870595470708,103
2020-04-01,"Latino","Massachusetts",0.242976285636689,85
2020-05-01,"Latino","Massachusetts",0.220776382535005,74
2020-06-01,"Latino","Massachusetts",0.358600378211551,88
2020-02-01,"Latino","Michigan",0.0988835952160756,46
2020-03-01,"Latino","Michigan",0.121474601177708,36
2020-04-01,"Latino","Michigan",0.251435065200275,41
2020-05-01,"Latino","Michigan",0.160563029623895,58
2020-06-01,"Latino","Michigan",0.199099785048473,62
2020-02-01,"Latino","Minnesota",0.0536052368788033,37
2020-03-01,"Latino","Minnesota",0,32
2020-04-01,"Latino","Minnesota",0.0545009754288257,32
2020-05-01,"Latino","Minnesota",0.195980379162068,39
2020-06-01,"Latino","Minnesota",0.135953572206028,32
2020-02-01,"Latino","Missouri",0,45
2020-03-01,"Latino","Missouri",0.165157016187181,33
2020-04-01,"Latino","Missouri",0.257671983952955,32
2020-02-01,"Latino","Nebraska",0.0606676796693777,89
2020-03-01,"Latino","Nebraska",0.142875492895178,66
2020-04-01,"Latino","Nebraska",0.0339866865503513,56
2020-05-01,"Latino","Nebraska",0.07648651929594,58
